"Credit Limit","Credit Limit"
"Aheadworks Credit Limit","Aheadworks Credit Limit"
"Enabled","Enabled"
"Title","Title"
"New Order Status","New Order Status"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Sort Order","Sort Order"
"Credit Limit per Customer Group","Credit Limit per Customer Group"
"Customer Group","Customer Group"
"Add New","Add New"
"Credit Limit by Aheadworks","Credit Limit by Aheadworks"
"Credit Summary","Credit Summary"
"Customer ID","Customer ID"
"Customer Name","Customer Name"
"Customer Group","Customer Group"
"Customer Email","Customer Email"
"Credit Balance","Credit Balance"
"Available Credit","Available Credit"
"Available Credit: ","Available Credit: "
"Last Payment","Last Payment"
"Edit","Edit"
"Credit Details","Credit Details"
"Custom Credit Limit","Custom Credit Limit"
"Use Config Value","Use Config Value"
"Update Balance","Update Balance"
"Amount","Amount"
"Amount to Add","Amount to Add"
"PO Number","PO Number"
"Comment","Comment"
"Changed","Changed"
"Updated","Updated"
"Purchased","Purchased"
"Canceled","Canceled"
"Refunded","Refunded"
"Order ID","Order ID"
"Credit Memo ID","Credit Memo ID"
"ID","ID"
"Date","Date"
"Credit History","Credit History"
"Action","Action"
"Comment to Admin","Comment to Admin"
"Comment to Customer","Comment to Customer"
"Customer ID is required","Customer ID is required"
"Transaction action is required","Transaction action is required"
"Transaction action type is not allowed","Transaction action type is not allowed"
"Amount is required","Amount is required"
"Credit limit is required","Credit limit is required"
"Please specify Credit Limit for customer before updating amount","Please specify Credit Limit for customer before updating amount"
"Purchase Order Number","Purchase Order Number"
"Purchase Order","Purchase Order"
"Available Credit Balance","Available Credit Balance"
"Insufficient credit funds","Insufficient credit funds"
"Amount Currency","Amount Currency"
"Aheadworks Extensions","Aheadworks Extensions"
"Email notification section","Email notification section"
"Send Email Notification When Credit Balance is Updated","Send Email Notification When Credit Balance is Updated"
"Email Sender","Email Sender"
"Email Template (Credit Balance is Updated)","Email Template (Credit Balance is Updated)"
"Your Credit Balance has been Updated","Your Credit Balance has been Updated"
"This request cannot be processed because your order amount exceeds your available credit amount","This request cannot be processed because your order amount exceeds your available credit amount"
"Assigned","Assigned"
"Credit limit is scheduled to be applied.","Credit limit is scheduled to be applied."
"Currency %1 is not allowed","Currency %1 is not allowed"
"Outstanding balances","Outstanding balances"
"Customer group has been changed","Customer group has been changed"
"Zero amount cannot be assigned as credit limit","Zero amount cannot be assigned as credit limit"
"Amount value is not correct","Amount value is not correct"
"Credit limit value is not correct","Credit limit value is not correct"
"Order %order_id","Order %order_id"
"Cancel created for order %order_id","Cancel created for order %order_id"
"Refund created for order %order_id","Refund created for order %order_id"
