"Request a Quote","Request a Quote"
"<a href="%1">Sign In</a> to request a quote","<a href="%1">Sign In</a> to request a quote"
"Something went wrong when requesting a quote.","Something went wrong when requesting a quote."
"Thank you for your request!","Thank you for your request!"
"The quote has been sent to the merchant.","The quote has been sent to the merchant."
"Your quote number is: %1.","Your quote number is: %1."
"You can't request a quote.","You can't request a quote."
"My Quotes","My Quotes"
"Quotes","Quotes"
"Quote Name","Quote Name"
"Created","Created"
"Status","Status"
"Last Updated","Last Updated"
"Quote Total","Quote Total"
"You have created no quotes.","You have created no quotes."
"Actions","Actions"
"Buy","Buy"
"View","View"
"ID","ID"
"Name","Name"
"Cart to Quote by Aheadworks","Cart to Quote by Aheadworks"
"Add Quote","Add Quote"
"Customer Name","Customer Name"
"Store","Store"
"We couldn't change quote status.","We couldn't change quote status."
"No records have been updated.","No records have been updated."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Pending Seller Review","Pending Seller Review"
"Declined by Seller","Declined by Seller"
"Pending Buyer Review","Pending Buyer Review"
"Declined by Buyer","Declined by Buyer"
"Ordered","Ordered"
"Expired","Expired"
"Clear Cart","Clear Cart"
"Are you sure you want to remove all products from the cart?","Are you sure you want to remove all products from the cart?"
"Quote item ID is required.","Quote item ID is required."
"The quote item cannot be loaded.","The quote item cannot be loaded."
"Quote # %1","Quote # %1"
"Customer Email","Customer Email"
"Send CC To","Send CC To"
"Reminder Date","Reminder Date"
"Expiration Date","Expiration Date"
"Products","Products"
"Negotiated Discount","Negotiated Discount"
"Can't apply negotiated discount. No discount type is specified.","Can't apply negotiated discount. No discount type is specified."
"Can't apply negotiated discount. No discount value is specified.","Can't apply negotiated discount. No discount value is specified."
"Cart does'nt contain quote.","Cart does'nt contain quote."
"Percentage Discount","Percentage Discount"
"Amount Discount","Amount Discount"
"Proposed Price","Proposed Price"
"Proposed Subtotal","Proposed Subtotal"
"The negotiated price cannot be higher than 100 or less than 0 percent.","The negotiated price cannot be higher than 100 or less than 0 percent."
"Negotiated Price cannot be less than 0 or higher than catalog price.","Negotiated Price cannot be less than 0 or higher than catalog price."
"Total Cost","Total Cost"
"Catalog Total Price (Excl. Tax)","Catalog Total Price (Excl. Tax)"
"Quote Subtotal (Excl. Tax)","Quote Subtotal (Excl. Tax)"
"General","General"
"Customer Groups Allowed to Request a Quote","Customer Groups Allowed to Request a Quote"
"History log is not available at the moment.","History log is not available at the moment."
"Comments","Comments"
"History Log","History Log"
"Default Quote Expiration Period, days","Default Quote Expiration Period, days"
"Setting to 0 will disable the option","Setting to 0 will disable the option"
"Send Reminder in X Days Before Quote Expiration, days","Send Reminder in X Days Before Quote Expiration, days"
"Email Template for Quote Reminder","Email Template for Quote Reminder"
"Hello, %customer_name","Hello, %customer_name"
"Your quote expires in %days_number_until_expired days","Your quote expires in %days_number_until_expired days"
